latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-32.91,124.217,434.6,1.1,1,2020-02-07,0530,A,100,6.0NRT,319.8,572.7,D
-32.912,124.206,385.1,1.1,1,2020-02-07,0530,A,100,6.0NRT,307.9,180.2,D
-32.895,124.221,349.4,1.1,1,2020-02-07,0530,A,68,6.0NRT,313.9,47.7,D
-32.886,124.219,365.9,1.1,1,2020-02-07,0530,A,100,6.0NRT,313.9,92.9,D
-32.887,124.208,339.2,1.1,1,2020-02-07,0530,A,83,6.0NRT,310.5,24.1,D
-32.879,119.838,411.8,1.8,1.3,2020-02-07,0530,A,87,6.0NRT,291.6,765.7,D
-32.881,119.819,385.4,1.8,1.3,2020-02-07,0530,A,94,6.0NRT,293.2,400.9,D
-32.883,119.799,364.9,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,294.4,220.8,D
-32.864,119.875,337.8,1.8,1.3,2020-02-07,0530,A,75,6.0NRT,282.5,69.7,D
-32.867,119.837,412.7,1.8,1.3,2020-02-07,0530,A,87,6.0NRT,305.8,775.8,D
-32.869,119.817,368.3,1.8,1.3,2020-02-07,0530,A,94,6.0NRT,288.2,244.6,D
-32.85,119.893,400.3,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,302.7,559.1,D
-32.852,119.874,391.1,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,294.9,447.9,D
-32.853,119.854,387.4,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,292.5,410.9,D
-32.855,119.835,399.8,1.8,1.3,2020-02-07,0530,A,94,6.0NRT,310.4,575.1,D
-32.836,119.911,358.7,1.8,1.3,2020-02-07,0530,A,99,6.0NRT,292.4,151.3,D
-32.838,119.891,450.2,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,319.8,1630.3,D
-32.84,119.872,408.5,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,317,688.9,D
-32.841,119.853,367.4,1.8,1.3,2020-02-07,0530,A,99,6.0NRT,303.5,224.7,D
-32.824,119.909,399.5,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,310.6,544.1,D
-32.826,119.89,420.3,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,320.2,887.6,D
-32.828,119.871,383.4,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,315.2,361.5,D
-32.83,119.851,370.1,1.8,1.3,2020-02-07,0530,A,90,6.0NRT,310,245.9,D
-32.843,119.906,362.3,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,291.9,172,D
-32.845,119.887,434,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,317.1,1190.5,D
-32.847,119.868,385.3,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,304.5,378.5,D
-32.848,119.849,375.8,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,301.9,292.6,D
-32.85,119.829,361.1,1.8,1.3,2020-02-07,0530,A,69,6.0NRT,307.3,186.3,D
-32.831,119.905,402.9,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,304.6,590.6,D
